"Part";"Value";"Device";"Package";"Description";"DATASHEET_LINK";"LED_COLOR";"MANUFACTURER";"MANUFACTURER_PN";"PACKAGE";"SUPPLIER";"SUPPLIER_PN";
"C1";"0.1uF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C2";"0.1uF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C3";"10nF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C4";"47nF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C5";"10nF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C6";"47nF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C7";"330pF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C8";"330pF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C9";"330pF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C10";"220pF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C13";"6.8nF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C14";"10nF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C15";"330pF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C16";"10nF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C17";"330pF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C18";"10nF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C19";"330pF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C33";"0.1uF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
"C34";"4.7nF";"CAP-JKE";"C050-025X075";"Axial lead, through-hole, general purpose capacitor";"http://www.joeknowselectronics.com/index.php/products/component-kits/capacitor-kit.html";"";"joe Knows Electronics";"n/a";"C050-025X075";"Joe knows Electronics";"n/a";
